True_Data_origin,GRU_Predicted_Data_origin,CNN_Predicted_Data_origin,LSTM_Predicted_Data_origin,RNN_Predicted_Data_origin,TimesNet_Predicted_Data_origin
156.88999938964844,161.75181777183025,158.32007718460227,160.940783129583,163.16266648255987,156.4136259129823
157.82000732421875,157.64589044202694,155.64469044433008,157.4502182636943,159.06144651501927,156.34127221217977
158.72000122070312,156.0050836430455,155.25168552259493,155.67292842395182,157.91706660781347,156.40725363610986
160.0500030517578,155.09958010998162,154.14228794055816,154.66322939160818,157.8046825797901,156.6221127999123
161.1999969482422,160.3126370971222,158.74343864462935,159.8198481672207,160.58091549299206,157.26600969211435
162.61000061035156,161.83994433283806,158.87052994966507,161.35462552309036,162.1791606247425,158.18118708860493
161.57000732421875,161.74354200558628,159.38073229079237,161.4290307334013,162.11933951765786,158.90838565362887
160.27000427246094,161.8492698696391,159.50112016021194,161.9672863831638,161.9298759801295,159.3915110012202
161.47000122070312,161.49602829333526,160.10730285113823,161.86465583558677,161.4277577947778,159.18194316261133
163.47000122070315,162.61179930449362,160.1798981129632,163.37152423682164,162.4546659165062,159.13850658735433
163.77000427246094,163.70209366019117,161.38763840296815,164.01640625879372,161.68420309884095,159.33565849487377
164.33999633789062,166.97424968380074,164.36890094637056,167.62464063373773,164.70576040008746,160.00024860555823
164.5200042724609,168.09519119247852,163.96275156348565,169.09022496196485,165.8301796156502,160.58935225733376
164.55999755859375,164.65088480851773,156.93540082835716,164.84569960571753,164.926162489739,160.8380678953255
165.25,163.77906898824403,158.3363736677129,164.37217805941873,163.99023814251632,160.8153212022803
164.63999938964844,160.29842598128198,156.65035667881784,161.04095417105054,160.35653863327934,160.7884341974033
163.4199981689453,162.8902915428189,164.55370925883472,161.2831679264782,163.08675776605378,159.91132364861673
163.3800048828125,163.19539067398,161.91276261156963,160.88570887870085,163.36225233860387,159.3833905185461
163.91000366210938,164.27544145645152,161.5349736643584,161.45596222750282,163.53334386285496,159.60522749233738
161.9199981689453,163.9544007004297,159.29241622470727,163.50343591105775,164.61183107561374,160.32422383605717
162.35000610351562,164.43635911248566,161.6885221715056,164.41543322059078,163.0115732096274,160.27432990902707
