True_Data_origin,GRU_Predicted_Data_origin,CNN_Predicted_Data_origin,LSTM_Predicted_Data_origin,RNN_Predicted_Data_origin,TimesNet_Predicted_Data_origin
138.3000031,120.93475926799051,131.93311702165275,135.193160616898,122.67454337127836,137.97482501073694
138.9600067,112.0459327434711,127.26220840254264,130.97451252373168,117.02197284682909,138.75170990529287
138.8300018,129.33818284445263,133.15253548262012,139.28558458047226,129.56170056940343,138.95043646542987
134.5899963,121.76639013476915,134.7393143596627,140.3557851261404,129.77836731346363,138.09721395919973
131.3600006,118.54289771664185,140.53785877222109,144.9126933370478,132.053367206244,136.4215180491304
131.25,124.90440415858107,135.13755733285933,131.0501460538485,123.8186195116678,135.15892461436184
132.1699982,119.63989388583788,136.58884984390497,130.57768367994805,119.27824056364432,133.43558639795398
129.4499969,115.42225493501655,132.80806000728916,129.49390859583872,113.65970851796058,132.8261293534814
131.4600067,123.1680567600554,130.0428870723498,128.4356072938425,119.36153793262706,131.40736056235482
133.1300049,115.39765692313664,128.7433867153831,124.14953830893415,113.2553638037556,131.40276121401976
131.8500061,112.565710418614,126.76760037263946,124.59671304702788,109.67761206049477,131.6334228720303
135.1699982,125.07208319634982,128.32169030591055,131.01131191418946,119.4020592774438,132.02167729563422
133.3000031,120.3814244725294,131.9840043300439,131.3756611535116,117.93757116692012,132.8740320002917
136.2700043,122.44439412481618,140.24686907912735,138.4578360085325,120.7743388248456,132.99908220691066
135.9900055,130.7415534377063,135.304168147551,135.91239808242145,124.84114869802754,134.14779114862836
138.7299957,129.4627634314404,133.3230876081053,139.3718606240639,124.586036215387,134.73185053374135
139.5,126.46851831579646,131.55181565096933,139.9655573788151,119.77318021403218,136.13103593604512
139.1999969,134.00197314336756,136.2593644106498,139.52695859138902,127.06322717619344,137.46799996558983
141.6999969,126.82698621723308,134.1638496244799,135.99146947374365,120.96486706580306,138.55260729780773
140.2899933,123.9118678617662,131.7413548092065,136.32663467499918,116.65316923282748,139.76324834509361
138.5800018,133.5561680535103,136.3581460020382,140.29593795729633,126.72217603101262,140.3920573646363
140.4900055,131.41651160154103,140.48394537644091,143.65493155243806,128.20873652497616,140.2362580556264
140.9900055,126.548036685942,140.71915681741393,143.53172814961383,124.34326372230475,140.16987123531862
139.2799988,134.1857476404633,141.64456428411253,140.84584753802403,127.1521995673324,140.3328154439433
138.9799957,128.8309330747619,139.3583196535634,140.4864296638221,124.29997499855465,140.64594717807475
136.7400055,124.50795937327057,138.7024359072158,140.1415729062343,120.473571566376,140.2390060939398
137.8999939,132.06258914066962,140.79258210373484,136.75346720259384,126.93623842942408,138.86122646376143
140.1199951,126.36868647882486,137.14356284788408,135.2541013993123,121.96906144172326,137.95003481247818
126.6699982,121.39335135905058,140.35299203532415,133.62275143135642,115.46195561243483,137.66606121118778
123.4400024,124.01292211606447,139.132371153811,125.75507771691514,122.87978458619436,135.39780146059348
123.4000015,118.73018155868674,135.96514928958138,124.04307778398802,116.21980155420596,132.14224386079448
125.75,115.39982602828452,140.56669499113215,124.59923951269444,111.55957994144518,126.97127462984093
125.3000031,120.44162491583477,133.55130882049514,125.35779986204408,114.73391593407683,124.87188906528444
127.5699997,119.82050503366048,137.88264264406467,127.31530358035486,113.98561344534872,124.08687576266463
128.5800018,116.0602159873274,133.83551692784678,122.51923046531968,107.17864061490238,124.74380155316119
130.3699951,126.88298161401649,130.47847225011267,127.5449997071236,120.5563644917706,126.23396148699783
131.4499969,127.43613279617914,133.96237533567952,128.27477202420727,116.88461677347794,127.59409581853232
132.3999939,130.44532294982886,133.0881072079473,131.52370516857275,116.35719266679264,129.2593781097299
133.2599945,131.9361645789701,132.37566200076537,132.0161815286494,124.15350417637472,130.55541083176456
131.6900024,131.65027936661767,132.37350048321295,132.54878588101715,120.16810749999247,132.139466895762
134.0599976,130.2704942659703,119.1005839157288,132.33571800661764,115.35266107651007,132.91308307106098
133.6399994,132.55681228652344,130.23518406531457,133.81802062448642,125.46601620687116,133.32664837386722
135.4299927,129.8011774184411,128.3168629589625,132.79671538676973,119.17378120227949,133.3826215753032
136.3800049,129.2801730652473,131.75544645117688,133.46206069208023,115.77585380016562,134.15522531543408
138.6999969,133.85071471096674,129.3029740443355,136.43620256663365,127.87458157096394,135.0777562405999
136.9400024,132.3075593790643,132.0820240047155,136.85297850969144,123.33222682134144,136.57014353180637
137.9199982,129.14043718615295,129.78838550804403,135.2546196782448,117.75265885034958,137.18570411400657
138.6199951,135.8236476778984,134.10546481609344,138.42299282550812,129.19675260782242,137.49380259901662
140.0200043,134.86507019437352,134.54048544708945,140.371520366184,125.60186223962154,137.28188545497537
138.2200012,131.98742330881646,140.0511156241832,139.52355946716682,120.28511193005173,138.15914606476792
138.0500031,134.8532061985302,140.49521463687455,138.17297988955417,130.4796128766178,138.92712152984464
138.6199951,132.493652713339,142.74775933213226,137.38391938891587,125.54500971848796,139.39246565981907
